,0
Dhani Harrison,"Dhani Harrison (born 1 August 1978) is a British multi-instrumentalist musician, composer and singer-songwriter (and the only child of George Harrison and his second wife, Olivia. His musical projects include thenewno2 with Oliver Hecks, and Fistful of Mercy with Joseph Arthur and Ben Harper. 

 <a href=""https://www.last.fm/music/Dhani+Harrison"">Read more on Last.fm</a>"
Divino Niño,"Divino Niño is a musical group formed in Chicago, Illinois in 2012. The band consists of Camilo Medina (vox/guitar/percussion), Javier Forero (vox/bass), and Guillermo Rodriguez(vox/guitars). They are known for their psychedelic sound, drum loops, harmonies, world percussion, and Latin American roots. Camilo and Javier met in Bogota, Colombia when they were very young, reunited in Miami, Florida in 2003, and have been playing music ever since. Before meeting Guillermo Rodriguez <a href=""https://www.last.fm/music/Divino+Ni%C3%B1o"">Read more on Last.fm</a>"
Dolores O'Riordan,"Dolores Mary Eileen O'Riordan (born 6 September 1971, died 15 January 2018) was an Irish musician, singer and songwriter. She led The Cranberries to worldwide success and fame for 13 years before the band took a hiatus in 2003. Her first solo album Are You Listening? was released in May 2007. Her second solo album No Baggage was released in August 2009. The Cranberries subsequently reunited, releasing the album ""Roses"" in 2012 and ""In the End"" in 2019, utilising lyrics and vocals O'Riordan recorded before her death. <a href=""https://www.last.fm/music/Dolores+O%27Riordan"">Read more on Last.fm</a>"
Ebbot Lundberg,"Lead singer of The Soundtrack of Our Lives. <a href=""https://www.last.fm/music/Ebbot+Lundberg"">Read more on Last.fm</a>"
Eisley,"Eisley is an indie-pop rock band from Tyler, Texas, United States. Eisley consists of four siblings: Sherri DuPree-Bemis, Stacy King, Chauntelle D’Agostino and Weston DuPree -- and their cousin, Garron DuPree. 

The band began as an after-church endeavor when the DuPrees were young. The band was named Moss Eisley, after the Star Wars city Mos Eisley, but for legal reasons the ""Moss"" was dropped officially when they announced their tour opening for Coldplay. <a href=""https://www.last.fm/music/Eisley"">Read more on Last.fm</a>"
Emily Hearn,"Emily Hearn, a young, up and coming singer/songwriter talent in Athens, Ga. has a startling ability to convey emotion with her honest lyrics and rich voice layered in nuances and subtleties. You may find her strumming her guitar, delicately piecing together words at a peach stand on the side of the road or performing at local benefits around town. All around folksy and sincere. In my humble opinion, best enjoyed on a late fall afternoon grasping at moments of peace and understanding about human nature.""  <a href=""https://www.last.fm/music/Emily+Hearn"">Read more on Last.fm</a>"
F.S. Blumm,"F.S. Blumm is a pseudonym of Frank Schültge (b. 1968, Bremen, Germany), who lives and works in Berlin, as a musician and a producer for radio-plays.

He has previously released albums with Cologne's Staubgold, Tomlab, and Berlin's Morr Music, and Lichten on Audio Dregs for his first stateside release. Besides his contributions to the Sack & Blumm project (together with Harald Sack Ziegler) he is involved in the production of radioplays with Rininat <a href=""https://www.last.fm/music/F.S.+Blumm"">Read more on Last.fm</a>"
Fair To Midland,"Fair to Midland were a progressive rock band formed in Sulphur Springs, Texas in 1998. They dissolved without any official statement.

Anyone who thinks the phrase “it’s all been done before” carries real weight clearly has yet to encounter Fair to Midland. Dark, heavy, moving, cryptic, progressive art rock collides with flourishes of old-school country, Americana and Delta Blues in their sound. These Lonestar boys' genre-defying and boundary <a href=""https://www.last.fm/music/Fair+to+Midland"">Read more on Last.fm</a>"
Fatima,"There are multiple artists under the name Fatima:

1. Fatima Bramma-Sey, better known as simply Fatima, is a 25-year-old Swedish soul songstress recording on Floating Points' and Alexander Nut's Eglo Records. Her ability to improvise and cover a wide range of musical styles was an inspiration to Nut, who quickly became a fan and invited the young Swede into the Eglo fold.

Fatima's musical approach is also deeply tied to her own diverse roots. Growing <a href=""https://www.last.fm/music/Fatima"">Read more on Last.fm</a>"
Fenech-Soler,"Fenech-Soler is a band from Kings Cliffe, United Kingdom, that formed around 2006. The band consists of Ross Duffy & Ben Duffy, while Daniel Soler & Andrew Lindsay departed band amicably.

They released their debut album Fenech-Soler on September 27th 2010 on B-Unique. It's an album that begins with a blast, its opener ""Battlefields"" launching with a heavenly chorus of voices, ""Golden Sun"" plays with rhythms that summon up the sultriness of desert heat; ""The Great Unknown"" takes a distant echo on French House in new, dizzying directions. <a href=""https://www.last.fm/music/Fenech-Soler"">Read more on Last.fm</a>"
Ferocious Dog,"Ferocious Dog are from Warsop, Nottinghamshire.

Originally a three piece in the late 80's by Ken Bonsall (Lead Vocals/Guitar) and Dan Booth (Fiddle) and Ian Wagstaff playing Bodran (Irish Drum). Shortly after the band was joined by Dave Drury (Bass), Paul Newbury (Drums), Jimmy Carrol (Guitar/Banjo/Penny Whistle).

The band split and reformed a few times, then following the tragic death of Paul Newbury in 2005, they were joined by Brad Drury (Dave Drury's Son) (Drums). <a href=""https://www.last.fm/music/Ferocious+Dog"">Read more on Last.fm</a>"
Girl Band,"Dublin, Ireland

The lineup: Dara Kiely (vocals, guitar), Alan Duggan (guitar), Daniel Fox (bass), Adam Faulkner (drums).

The background: Girl Band are the latest in a long line of ""Girl"" bands that includes such notables as Girls, Shy Girls, September Girls and Girl Unit - and that's not even mentioning the ""Women"" ones such as Women, Woman E and Woman's Hour. Usually when an indie band adopts the female sex (is there an indie band called Female Sex? There ought to be) as part of their moniker there is an element of snarkiness going on <a href=""https://www.last.fm/music/Girl+Band"">Read more on Last.fm</a>"
Greg Dulli,"Greg Dulli (born May 11, 1965) is a singer and instrumentalist.

Dulli was born and brought up in a working-class suburb of Hamilton, Ohio. He is of Greek (father) and Irish (mother) descent. He first came to public attention in Cincinnati in the late 1980s with The Afghan Whigs, when Dulli joined D.C. transplant bassist John Curley and Louisville, Kentucky, guitarist Rick McCollum. Dulli's half-hour-long on-stage cigarette breaks, complete with running commentary on sexual politics and attempts at matchmaking at first enraged <a href=""https://www.last.fm/music/Greg+Dulli"">Read more on Last.fm</a>"
Han Dong Geun,"<a href=""https://www.last.fm/music/Han+Dong+Geun"">Read more on Last.fm</a>"
IRONTOM,"IRONTOM emerged in early 2012 forging a presence on the Los Angeles music scene. With influences ranging from Arctic Monkeys to Led Zeppelin, the music exhibits a variety of styles and sounds on top of a classic songwriting sensibility. The five band members combine to form an undeniably powerful and energetic sound.

IRONTOM recently finished a full length album with producer/mixer, Alain Johannes (Arctic Monkeys, Queens of the Stone Age, Chris Cornell), release date and touring news coming soon, stay tuned! <a href=""https://www.last.fm/music/Irontom"">Read more on Last.fm</a>"
Jake Xerxes Fussell,"Jake Xerxes Fussell is an American singer and guitarist from Durham, North Carolina 

He is son of Fred C. Fussell, a folklorist, whose fieldwork took him, often with young Fussell in tow, across the Southeast documenting traditional culture, which included recording blues and old-time musicians.

As a teenager Fussell began playing, studying, and apprenticing with Piedmont blues legend Precious Bryant (“Georgia Buck”), with whom he toured and recorded <a href=""https://www.last.fm/music/Jake+Xerxes+Fussell"">Read more on Last.fm</a>"
Jealous of the Birds,"Jealous of the Birds is the solo project of Irish singer, songwriter and multi-instrumentalist, Naomi Hamilton. <a href=""https://www.last.fm/music/Jealous+of+the+Birds"">Read more on Last.fm</a>"
Jeffrey Martin,"There is more than one artist named Jeffrey Martin (although only one is listed on MusicBrainz):
1) an American singer-songwriter from Oregon
2) an American singer-songwriter from Nashville
  
1) Jeffrey Martin from Oregon: (not pictured on last.fm) WWW.JEFFREYMARTINMUSIC.COM
Martin released his first album entitled Gold in the Water in 2009. It earned him a few key shows, on a few lucky nights, where he was heard by some influential promoters. Since then he has shared the stage with some greats such as Sean Hayes <a href=""https://www.last.fm/music/Jeffrey+Martin"">Read more on Last.fm</a>"
Jukjae,"Jukjae (적재) is a Rock singer-songwriter and guitarist from South Korea. <a href=""https://www.last.fm/music/Jukjae"">Read more on Last.fm</a>"
Junior Boys,"A Hamilton, Ontario-based electronic pop group, Junior Boys began as a duo with its duties split between Jeremy Greenspan and Johnny Dark. Influenced by a number of music sectors — including arty synthpop, minimal techno, uk garage, and contemporary hip-hop — they made a demo with no positive results. Dark opted to leave the group, but former Warp employee Nick Kilroy eventually heard the songs and became interested enough to begin his KIN label with Junior Boys as its first artist. <a href=""https://www.last.fm/music/Junior+Boys"">Read more on Last.fm</a>"
King No-One,"Formed in York in 2013, King No-One introduced themselves busking original material in the cold, rain drenched streets across the UK. As word spread they built their live reputation with blistering shows across the nations favourite small venues before exploding as one of the biggest live emerging guitar bands in the country.

The band now sell out venues normally reserved for major label, radio 1 play-listed album artists. The March 2018 sold out tour saw 3 <a href=""https://www.last.fm/music/KING+NO-ONE"">Read more on Last.fm</a>"
Kisschasy,"Kisschasy were an Australian alternative rock band that formed in Victoria, Australia in 2002, and disbanded in 2015. The line-up consisted of lead vocalist Darren Cordeux, bassist Joel Vanderuit, guitarist Sean Thomas, and drummer Karl Ammitzboll.

The band released three studio albums, two of which are gold certified, two extended plays, a documentary DVD and a compilation album in their 7 year career, selling in excess of 90,000 records. <a href=""https://www.last.fm/music/Kisschasy"">Read more on Last.fm</a>"
Kitten,"Kitten is an indie rock band from Los Angeles, CA, USA. In 2011 they released their debut EP Sunday School. In 2012 they released the EP Cut It Out. The band consists of sole founding member Chloe Chaidez. Shortly after the release of Kitten's third EP Like A Stranger, the band announced the departure of members Lukas Frank, Waylon Rector and Zach Bilson. Bryan DeLeon quit the band after Kitten's tour with Charli XCX in November 2013.

Kitten has opened for bands such as No Doubt, Electric Six, Young The Giant, Paramore and Charli XCX. <a href=""https://www.last.fm/music/Kitten"">Read more on Last.fm</a>"
Lomelda,"Lomelda is an art rock band from Waco, TX. Their sound features strong female vocals, loose spacey guitars, and intricate emotional percussion. Lead by the songwriting of Hannah Read, the group creates music that is both accessible and exploratory, nostalgic and challenging. Read’s simple guitar stylings range from mellow, woody rhythmic patterns to heavy droning textures, while the dynamic drumming of Zach Daniel adds weight to the subtleties of the songs. <a href=""https://www.last.fm/music/Lomelda"">Read more on Last.fm</a>"
Longpigs,"Longpigs, from Sheffield, were one of the more memorable bands who rose to fame on the fringe of Britpop in the 1990s, comprising Crispin Hunt (vocals), Richard Hawley (guitar), Simon Stafford (bass) and former Cabaret Voltaire member Dee Boyle (drums). The band name refers to the litteral translation of the word for 'human' or 'person' from cannibal tribal language. 

The group initially signed with Elektra Records in 1993. However, just before they released their first single, two tragedies struck the band. <a href=""https://www.last.fm/music/Longpigs"">Read more on Last.fm</a>"
loren north,"<a href=""https://www.last.fm/music/Loren+North"">Read more on Last.fm</a>"
machineheart,"Indie pop band machineheart were formed in 2014 by guitarist Carman Kubanda, bassist Jake Randle, and drummer Harrison Allen -- a group of friends from Tacoma, Washington -- along with Stevie Scott, an Anglophile singer from Los Angeles. Popular covers of Katy Perry and the 1975 helped them gain blog exposure (they even contributed a song to MTV's Scream television series), but it was not until the shimmery single ""Circles"" was released that the band received more serious buzz <a href=""https://www.last.fm/music/machineheart"">Read more on Last.fm</a>"
Mademoiselle K.,"Mademoiselle K is a French guitarist and song writer, whose real name is Katerine Gierak.  Mademoiselle K has been playing guitar since the age of eight. She is open to all kinds of musical influence and is classically trained as well as appreciating rock and jazz.
Mademoiselle K took up music professionally after failing her exams to be a teacher. She paid her dues by gigging with various bands for 50 euros a night and sometimes for free. 
In 2007, her first studio album, Ca Me Vexe was released on EMI. <a href=""https://www.last.fm/music/+noredirect/Mademoiselle+K."">Read more on Last.fm</a>"
Mali-Koa,"<a href=""https://www.last.fm/music/Mali-Koa"">Read more on Last.fm</a>"
Mantaraybryn,"<a href=""https://www.last.fm/music/Mantaraybryn"">Read more on Last.fm</a>"
Matt Easton,"Chicago born and bred, rising emcee and producer, Matt Easton, has entirely self produced three mixtapes, ""Intro To Public Speaking"", ""Old Hickory"" and his latest project, ""The Rhetorical Tradition"".  Each tape features original beats and lyrics that have made Easton one of hip-hop's most coveted young acts.

From Matt's Facebook: ""I'm 21 years old, I produce all of my music, I make all of the beats, I rap on all of the songs""   <a href=""https://www.last.fm/music/Matt+Easton"">Read more on Last.fm</a>"
Michael Dunstan,"Arising from a quaint regional upbringing in the Wheatbelt, Michael rest his hands on his first acoustic guitar in his hometown of Northam in 2007. Deferring tedious university studies in 2015, bearings pointed deep south to Esperance to reevaluate and find respite. Unplanned, in the presence of a warm community of local musicians and close friends, Michael performed live with vocals for the first time in Esperance late Autumn 2015. <a href=""https://www.last.fm/music/Michael+Dunstan"">Read more on Last.fm</a>"
Middle Class Rut,"Middle Class Rut play a visceral brand of alternative rock that echoes the intensity of Jane's Addiction and Refused, the pummeling backbone of Rage Against The Machine and the anthemic post-punk core of The Foo Fighters.

Only in their mid-20s, Middle Class Rut, consisting of Zack Lopez (guitar/vocals) and Sean Stockham (drums/vocals), are already veteran musicians; both guys were core members of Leisure, which was signed to DreamWorks back in 2000 when Sean and Zack were just in their early teens. <a href=""https://www.last.fm/music/Middle+Class+Rut"">Read more on Last.fm</a>"
Ought,"Ought is a band formed in Montreal, Canada.

Guitarist and vocalist Tim Darcy, originally a folk musician hailing from New Hampshire, fell in with New Jersey native Matt May (keyboards) and Australian émigré Tim Keen (drums, violin) – the three of them began sharing an apartment that doubled as practice space, where they were soon joined by Portland,OR transplant Ben Stidworthy on bass. Ought played its first show and recorded its first ""New Calm EP""  in the apartment's largest bedroom, in the summer of 2012. <a href=""https://www.last.fm/music/Ought"">Read more on Last.fm</a>"
Ovlov,"More than one artists with same name.

1) Ovlov is a three piece band from Connecticut. Their songs draw from a well of influences including Dinosaur Jr. and Brian P. Connor.

2) Ovlov is also a three piece rock band from Brescia, Italy. 
Lù Pangra (vocals, guitar) and Luigi Ancellotti (bass) had played together in Black Eyed Susan and formed Ovlov with drummer Michele Marelli. Their debut album ""Margaret, Frank and the Bear"" was released in late 2010.

 <a href=""https://www.last.fm/music/Ovlov"">Read more on Last.fm</a>"
Paperwhite,"Paperwhite, brother sister Katie and Ben Marshall are a Dream-Pop duo from Brooklyn, NY. Katie is the singer and songwriter of the band. Her sophisticated melodies bounce from star to star in a lush galaxy of synthesized textures. Ben, also the drummer for Brooklyn band Savoir Adore, is the producer and co-writer. They’re nostalgic synth riffs shimmer above heart felt chord changes and hypnotic pounding drums.  <a href=""https://www.last.fm/music/Paperwhite"">Read more on Last.fm</a>"
Pitch 92,"<a href=""https://www.last.fm/music/Pitch+92"">Read more on Last.fm</a>"
Public Library Commute,"<a href=""https://www.last.fm/music/Public+Library+Commute"">Read more on Last.fm</a>"
Radkey,"Radkey consists of three home-schooled brothers from St. Joseph, Missouri. Isaiah Radke (bass), Solomon Radke (drums), and Dee Radke (lead vocals and guitar) who formed their family-titled band in 2010, and played their first show in 2011 when they opened for Fishbone.  

With their dad, Matt Radke, as their manager, they have since played with the likes of The Offspring, Local H, The Damned, Jack White, Black Joe Lewis, and Titus Andronicus and performed at festivals like SXSW, Riot Fest, Afropunk, the U. <a href=""https://www.last.fm/music/Radkey"">Read more on Last.fm</a>"
Richard Dawson,"Richard Dawson is a folk musician from Newcastle upon Tyne, England. His 2014 album Nothing Important was released by Weird World and was met with critical acclaim. His 2017 album Peasant received similar acclaim, and was chosen by The Quietus as their album of the year.

A much-loved musical spectacle in his native Newcastle for many years now, Dawson is a skewed troubadour who sings and plays guitar with a rare intensity and a very singular style. <a href=""https://www.last.fm/music/Richard+Dawson"">Read more on Last.fm</a>"
Riscas,"<a href=""https://www.last.fm/music/Riscas"">Read more on Last.fm</a>"
Sarah Shook & the Disarmers,"Sarah Shook & The Disarmers is an American country band led by singer-songwriter Sarah Shook. The band started as a recording project, with Eric Peterson on guitar, and John Howie Jr. (Two Dollar Pistols, John Howie Jr. & the Rosewood Bluff) on drums, Jason Hendrick on bass fiddle, and Phil Sullivan on lap steel.

Shook's original songs take on the usual country spin on poor relationships, bad decisions, and excessive alcohol consumption for damn good reasons. <a href=""https://www.last.fm/music/Sarah+Shook+&+the+Disarmers"">Read more on Last.fm</a>"
Shagabond,"<a href=""https://www.last.fm/music/shagabond"">Read more on Last.fm</a>"
Slow Pulp,"Slow Pulp is an American four-piece dream-punk band from Madison, Wisconsin. <a href=""https://www.last.fm/music/Slow+Pulp"">Read more on Last.fm</a>"
Stornoway,"Stornoway was a British alternative indie folk band who formed in 2006 in the Cowley Road area of Oxford, UK. The band consisted of singer and guitarist Brian Briggs, multi-instrumentalists Jon Ouin and Oli Steadman, and the latter's brother Rob Steadman on drums. The band was often joined by trumpeter Adam Briggs and violinist Rahul Satija. 

In October 2016 the band announced that they would be splitting up after a farewell tour during spring 2017. They played their final show on 12 March 2017. <a href=""https://www.last.fm/music/Stornoway"">Read more on Last.fm</a>"
Superheaven,"Superheaven is a band from Doylestown, PA. They are formerly known as Daylight. Due to legal copyright issues, they have now changed their name to Superheaven. The band and its members will continue to operate and compose as they always have. Only the name has changed. 

Channeling alternative bands from the 90s, punk bands from the 80s and adding their own current attitude, Superheaven comes at you with catchy riffs and hooks that will make you want to scream out every word. <a href=""https://www.last.fm/music/Superheaven"">Read more on Last.fm</a>"
The Blinders,"Hailing from the coalfields of South Yorkshire, the Doncaster born trio have taken the UK live circuit by storm in 2017. With a blend of proto punk politics and psychedelia laden lyricism the band are a force to be reckoned with. Influences ranging from Leonard Cohen to George Orwell allow the band to summon up a spectrum of sounds that will enthral and entertain any worthy parishioner.

Consisting of vocalist and guitarist Thomas Haywood, bassist <a href=""https://www.last.fm/music/The+Blinders"">Read more on Last.fm</a>"
The Dirty Nil,"The Dirty Nil are Kyle Starchild Fisher on drums, Dave Motherfahkin' Nardi on the fuzz bass and Luke Bentham up front, playing guitar and singing AT THE SAME TIME. They hail from Dundas, Ontario, and make ""smack-you-in-the-face"" rock music. Grab your balls/place your hands on your ovaries and hear that rock and roll isn't dead.

As of late 2016, Dave Nardi is no longer in The Dirty Nil and in april of 2017 has been replaced by Ross Miller.

http://thedirtynil.bandcamp.com/ <a href=""https://www.last.fm/music/The+Dirty+Nil"">Read more on Last.fm</a>"
The Letter Black,"The Letter Black is a modern rock band fronted by female vocalist Sarah Anthony, followed by her husband Mark Anthony (guitar / background vocals) Mat Slagle (drummer) and Matt Beal (Bass). Breaking the Silence, now known as the Letter Black, immediately separated themselves from the underground through an undying work ethic and demonstrable live performances. Their debut album, ""Hangin On By A Thread"" was produced by Toby Wright and Rob Hawkins and has the 2nd highest first week sales of any debut album at T&N records.
 <a href=""https://www.last.fm/music/The+Letter+Black"">Read more on Last.fm</a>"
The Muffs,"The Muffs are a rock band based in Southern California, formed in 1991.

After releasing their initial 7"" EPs and singles independently and on local labels, The Muffs signed to Warner/Reprise in the early '90s. The band was heavily promoted along with acts such as Mudhoney in the hope of repeating the commercial success of Green Day. Despite the wide exposure afforded by appearing on a wide variety of movie soundtracks (""Clueless"" director Amy Heckerling <a href=""https://www.last.fm/music/The+Muffs"">Read more on Last.fm</a>"
The New Division,"The New Division is an electronic indie band formed in 2008 in Riverside, California. Founding members John Glenn Kunkel and Michael Janz started experimenting with electronic music and live performances locally, later adding Brock Woolsey and Mark Michalski. 

 Following the footsteps of acts such as New Order and Depeche Mode their sound blends 1980s synth-pop with contemporary electronic dance music. Additional influences include Royksopp, Deadmau5, Cut Copy, and Massive Attack. <a href=""https://www.last.fm/music/The+New+Division"">Read more on Last.fm</a>"
The New Roses,"Members:
Timmy Rough
Urban Berz
Dizzy Presley
Stefan Kassner

Albums:
2013: Without a Trace
2016: Dead Man's Voice
2017: One More for the Road
2019: Nothing But Wild

http://www.thenewroses.com/

 <a href=""https://www.last.fm/music/The+New+Roses"">Read more on Last.fm</a>"
The Rare Occasions,"Drawing inspiration from each successive wave of garage rock, The Rare Occasions put their own dark spin on retro. The LA-via-Providence group meshes angular guitar riffs with sweet indie pop melodies, from the blistering psych-anthem “Dysphoric” (Feelers) to the dreamlike “Bug Eyes” (Futureproof). This variability and depth of styles, layered with lyrical themes of existentialism and self-reflection, are what both define The Rare Occasions and set them apart. <a href=""https://www.last.fm/music/The+Rare+Occasions"">Read more on Last.fm</a>"
The Well Pennies,"Husband and wife Bryan and Sarah Vanderpool make up the creative nucleus of The Well Pennies, an acoustic indie pop outfit that keeps their spry, buskery songs loosely tethered to folk and Americana influences. After meeting up in the Boston songwriter scene and kicking around clubs in New England and New York's Lower East Side, the Vanderpools packed up and headed west to L.A. The Well Pennies self-titled January debut EP reminds us a bit of The Weepies <a href=""https://www.last.fm/music/The+Well+Pennies"">Read more on Last.fm</a>"
Tulsa,"There are three bands that go by the name Tulsa.

1) Tulsa is a Basque/Spanish band from Bilbao/Madrid composed of  Miren Iza(voice and guitar), Alfredo Niharra (guitar),  Gabi (drums), Miguel Guzmán (bass and guitars) and Alberto Rodrigo (bass). They formed in 2002 after lead singer Miren Iza from the defunct riot grrl band Electrobikinis started writing songs and joined Alfredo Niharra on small concerts. They released their first LP on 2006: Sólo me has rozado"" attaining critical acclaim. <a href=""https://www.last.fm/music/Tulsa"">Read more on Last.fm</a>"
Turbowolf,"Turbowolf is a hard rock band founded in Bristol, UK whose members include Chris Georgiadis (Vocals / Synth), Andy Ghosh (Guitar), Lianna Lee Davies (Bass) & Blake Davies (Drums). They released their debut album (titled Turbowolf) on 11 November 2011 on Hassle Records.

Prior to releasing their debut album, Turbowolf spent several years developing their musical style in a series of UK tours and shows with the likes of The Eighties Matchbox B-Line Disaster, The Computers, Pulled Apart by Horses & Dinosaur Pile-Up. <a href=""https://www.last.fm/music/Turbowolf"">Read more on Last.fm</a>"
Twain,"There is more than one artist with this name, including: 
1) Twain is an American indie band based in Brooklyn, NY.
2) Twain is  American indie-folk musician Doc Davidson.

1) Twain is an American indie band based in Brooklyn, NY.

2) Twain is American indie-folk musician Doc Davidson. The name 'twain' sounds like it might be for a band, but Davidson rather give his solo project a band-type moniker, so he can say things like, ""oh, yeah, one time I did a Twain show there"" or ""hey, you wanna hear some new Twain stuff, maybe"". <a href=""https://www.last.fm/music/TWAIN"">Read more on Last.fm</a>"
Ubermensch,"Artist: Übermensch
Country of Origin: Germany
Genre: Melodic Death Metal / Metalcore
Current label: Leveler Records

Der VisionärFull-length2013 
SchicksalsgemeinschaftFull-length2015 
(De)generationSplit2017 
NaturgewaltFull-length2019 
WeltanschauungFull-length2019  <a href=""https://www.last.fm/music/Ubermensch"">Read more on Last.fm</a>"
Will Knox,"Let me introduce you to the voice inside my head,
He's a matador dressed head to toe in red.
While he lives his life by the skin of his teeth,
Im just an acrobat trying to land on my two feet

He asked me if Im tired of tipping toes on tight rope wires,
Treading the lion's den and barely making rent.
We could go anywhere, we could be anything,
Don't you wish that you were more than just a puppet on a string?

He said you're just another animal tied up to a leash, <a href=""https://www.last.fm/music/Will+Knox"">Read more on Last.fm</a>"
Work Drugs,"www.workdrugs.com

Work Drugs is a chillwave group from an abandoned pier on the banks of the Delaware River in  beautiful Philadelphia, PA.  Work Drugs makes music specifically for dancing, boating, yachting, sexting, and living. Please enjoy please.

Follow Work Drugs here... 
▲ Facebook   ♪   http://facebook.com/workdrugs
▲ Tumblr   ♪   http://workdrugs.tumblr.com
▲ Bandcamp   ♪   http://workdrugs.bandcamp.com
▲ Word Press   ♪   http://workdrugs.wordpress.com <a href=""https://www.last.fm/music/Work+Drugs"">Read more on Last.fm</a>"
Yokee Playboy,"The paradox of Bangkok's 'Yokee' (hermit) and 'Playboy' is spelled out in the smooth blend of sexy funk, rock, pop, and heart-breaking, fragile, and subtle lyrics. The result is a simultaneity of urban decadance and a crave for solitude following a post-climax sorrow. <a href=""https://www.last.fm/music/Yokee+Playboy"">Read more on Last.fm</a>"
A Great Big Pile of Leaves,"A Great Big Pile Of Leaves 
You're Always On My Mind - Available July 2nd, 2013 on Topshelf Records

ORDER ""YOU'RE ALWAYS ON MY MIND"" NOW!
http://www.tsr-store.com/artist/a-great-big-pile-of-leaves

ORDER ON ITUNES (INCLUDES EXCLUSIVE BONUS TRACK)
https://itunes.apple.com/us/album/youre-always-on-my-mind/id662008097

Nostalgia is a funny thing in the sense that it can make us grow fonder of positive memories and conveniently edit out the not-so-good ones. <a href=""https://www.last.fm/music/A+Great+Big+Pile+Of+Leaves"">Read more on Last.fm</a>"
ALA.NI,"British souldiva with a vintage throwback sound, living in Paris. <a href=""https://www.last.fm/music/Ala.ni"">Read more on Last.fm</a>"
Allison Moorer,"Allison Moorer (born June 21, 1972 in Monroeville, Alabama) is an American alternative country singer, songwriter and musician. She is also the younger sister of Shelby Lynne. She has released 7 studio albums and 1 live album on 5 different record labels, beginning in 1998 with ""Alabama Song""  through to her most recent ""Crows"" in 2010.

Raised on George Jones and Tammy Wynette, Waylon Jennings, Willie Nelson, Johnny Cash and Emmylou Harris, she sang harmonies as a toddler, eventually thinking she'd make a career of it. <a href=""https://www.last.fm/music/Allison+Moorer"">Read more on Last.fm</a>"
Amaal,"<a href=""https://www.last.fm/music/Amaal"">Read more on Last.fm</a>"
Andrew Ashong,"Andrew Ashong, hailing from Forest Hill by way of Ghana has been titled as an essential listen by many music blogs in the past year. The Ghanaian-British artist had his first solo release on Theo Parrish’s label, Sound Signature. The title track, ‘Flowers’ won ‘Track of the Year’ at Gilles Peterson’s Worldwide Awards 2013.

Described by Paul Lester of The Guardian as ""a hazy, jazzy dreamer of a young soul rebel who in his music references Roy Ayers and Shuggie Otis, Bill Withers and Marvin Gaye."" <a href=""https://www.last.fm/music/Andrew+Ashong"">Read more on Last.fm</a>"
Angels Fall,"Listen to the heartfelt, acoustic-driven rock songs that fill Angels Fall’s debut album Yesterday’s Gone and the intentions of the music’s creator, singer-songwriter Joel Jorgensen, are crystal clear. “My goal is for people to attach a memory to the songs when they hear them, because that’s what music did for me when I was younger,” Jorgensen explains. “It would become part of me; part of a situation. Now, when I listen to Alice In Chains’ Unplugged album <a href=""https://www.last.fm/music/Angels+Fall"">Read more on Last.fm</a>"
Bananafishbones,"Sebastian Horn: vocals, bass, stories
Peter Horn: electric & acoustic guitars, vocals
Florian Rein: drums & treatments, vocals 

Yes, they do exist.  The band that doesn't just fit into one category and knows how to inspire with its powerful and cleverly arranged songs. But that's not all:
Bananafishbones also possesses the talent for catchy pop tunes as their chart success ""Come To Sin"" proves. Everyone who owns a T.V. set must have heard ""Come To <a href=""https://www.last.fm/music/Bananafishbones"">Read more on Last.fm</a>"
Camper Van Beethoven,"Camper Van Beethoven is an alternative rock band that was founded in 1983 in Redlands, California, though the band soon moved to Santa Cruz, California. Camper Van Beethoven mixed elements of pop, ska, punk rock, folk, country, and acid rock into an eclectic, catchy and sometimes mysterious ensemble, years before the so-called alternative rock moniker came to mainstream attention. 

The group's trademark violin-coated melodies and their ironic take on American culture put them one step away from being a novelty act in the eyes of many critics. <a href=""https://www.last.fm/music/Camper+Van+Beethoven"">Read more on Last.fm</a>"
CHAI,"Chai is a four person female group from Nagoya. Said to have DIY spirit, they have been compared to artists such as 'The Slits, TOM TOM CLUB, CHICKS ON SPEED, PEACHES, M.I.A., CSS, tUnE-yArDs, and Hinds'. Their style focuses on a relaxed yet exciting indie pop sound.

Members: Mana, Kana, Yuki, and Yuna.

They performed at SXSW in 2017 and embarked on an 8 city tour. Their 2nd EP ""CHEMISOKORO series"" was released on April 26th. <a href=""https://www.last.fm/music/Chai"">Read more on Last.fm</a>"
Chamsom,"Chamsom (hangul: 참깨와 솜사탕) is a South Korean indie group formed in 2010, that released their debut album in September 2010. The grup consists of 3 members whom all went to high school together: 유지수 (vocals), 최기덕 (vocals, guitar, composer) & 박현수 (drums, arranger). <a href=""https://www.last.fm/music/Chamsom"">Read more on Last.fm</a>"
CHATON,"Pendant 15 ans, Simon a composé et réalisé des disques pour Yannick Noah ou Jennifer. Et puis un jour, il a décidé de passer de l’autre coté du micro et le résultat est bluffant, à cheval entre PNL, Massive Attack, Christophe et même Bob Marley. Bref, le QLF selon CHATON, c’est Queue La Famille.
Son premier album « Possible » sortira début 2018 chez Arista/Sony. CHATON sera en concert le vendredi 1er décembre au Hasard Ludique à Paris (soirée La Souterraine) et le 9 décembre au Bar En Trans.
 <a href=""https://www.last.fm/music/Chaton"">Read more on Last.fm</a>"
